ULB_name,Source_of_water,Water_Demand_(MLD),Water_Treatment_facility_(MLD),Utilisation_of_treatment_facility,Storage_Capacity_(MLD),Protected_water_supply_reservoirs,Total_installed_capacity_of_protected_water_supply_(MGD),House_service_connections_(No's),Public_stand_posts,Length_of_distribution_pipe_line_(Kms),Area_Covered_(%),Water_supply_through_bore_wells_(MGD),Power_bores_(No's),Hand_bores_(No's),Water_Connections_(No's),Residential_Connections,Commercial_Connections,Metered_Connections,Covered_Population_(%),Unserved_population_(%),No_of_Hours_supply_in_a_day,Cost_Recovery_of_Maintenance
Andol-Jogipet,"Etigadda,Sathyasai,Vonappuram,Borewells",2.92,0,0,3.3,1,0,1375,2,28.5,72,1.38,110,4,1375,1230,145,0,80,5,1,495000
Armoor,surface and ground water,7,11.5,5.5,3.5,1,22,10358,254,103,100,1.98,192,56,10358,10358,0,0,98.2,1.8,6,0
Atchampet,Bore wells,3,0.6,4,0.5,0,1,3450,400,18,80,0,92,56,3450,3450,0,0,90,10,0,24
Badangpet,HMWS&SB BORE WELLS,14.25,0,0,7,0,0,14020,0,163.14,45,0.29,370,30,14020,14020,0,0,54.7,45.3,1,16824000
Badepally,"Bore motors,Raman paad",1.82,0,0,1.82,0,0,4548,0,44.42,75,0.5,110,12,4548,4548,0,0,75,25,1,0
Bellampalle,Godavari,7,0,0,6.6,2,2,2500,200,30,80,0.5,15,535,2500,2500,0,0,80,20,12,0
Bhainsa,GADENNAVAGU PROJECT,8,3.75,3.75,1.5,2,5,3200,45,36,45,1.18,109,72,3200,3200,0,0,0,0,15,3000000
Bhupalapally,Ground Water - Bore Wells,0,0,0,0,0,0,0,0,0,0,0,37,120,3060,2500,560,0,0,0,1,0
Bodhan,Bellal Tank,10,12.22,12.22,12.22,8,0,10421,123,86,85,0.04,15,25,10421,10396,25,0,85,15,1,0
Boduppal,HMWS & SB,15,0,0,4.1,0,4,10700,21,25,40,0.2,52,4,0,10700,0,0,60,40,1,0
Devarakonda,"Krishnawater,pendlipakala reservoir",4,4,0,0,0,0,3264,0,0,0,1,28,81,0,2965,286,0,90,10,2,60000
Dubbaka,Bore wells & Mission Bhagiratha,2.8,0,0,2.8,2,0,4015,0,22.02,100,1.62,268,11,4015,4015,0,0,96,0,1,0
Gadwal,"Krishna river,Jamulamma river",6.31,5.4,0,0,0,0,0,0,0,0,0,5,180,0,0,0,0,0,0,0,0
Gajwel,power bores & Godavari,6.75,0,0,4.7,4,3,8650,12,130,100,0.31,5,0,8650,8638,12,0,100,0,2,51
Husnabad,openwells borewells,2.15,1.25,0,0,0,0,3325,100,30,0,0,18,108,0,0,0,0,0,0,1,0
Huzurabad,Open Wells,1.77,0,0,0,0,0,2961,0,20,60,0,2,131,0,0,0,0,70,30,1,0
Huzurnagar,"Bethavolu tank, mattapalli schemeKrishna river , pws bore wells",3.76,1.02,1.02,1.02,1,0,2327,197,47,76,0.18,28,212,2327,2327,0,0,82,18,1,0
Ieeja,Power Borewells,1.5,1,0,1.5,0,0,1250,0,8.5,60,0,60,30,1250,1250,0,0,60,0,1,0
Jagtial,Dharma Samudram ss tank fed by SRSP Cancal,13.9,11.55,11.55,4.73,4,1155,13913,20,0,80,0.02,9,166,13913,13844,69,0,80,20,1,0
Jammikunta,MANAIR VAGU,1.72,0,0,0.8,3,0,5600,120,62,70,0,5,130,5920,5600,200,0,0,0,1,0
Jangoan,Cheetakodur reservoir and Mission Bhagiratha,7.64,7.1,7.1,7.64,1,0,6350,391,120.4,80,0,48,348,6350,6350,0,0,0,0,0,0
Jelpally,Bore wells,13.5,0,0,0.75,0,0,7140,96,136,80,4.6,302,0,0,7140,100,0,80136,22589,1,24
